GeneID	GSM3518005	GSM3518006	GSM3518007	GSM3518008	GSM3518009	GSM3518010	GSM3518011	GSM3518012	GSM3518013
105373908	0	0	0	0	0	0	0	0	0
79843	0.6052	0.7134	1.158	0.7725	0.3918	2.737	2.399	1.14	1.4
8452	5.572	6.411	6.359	7.342	24.68	31.31	31.44	11.74	23.25
105373909	0	0	0	0	0	0	0	0	0
105373910	0	0	0	0	0	0	0	0	0
105373911	0	0	0	0	0	0	0	0	0
55619	0.5918	0.9659	0.8984	0.5534	1.567	2.898	5.135	1.651	1.854
100616207	0	0	0	0	0	0	1.288	0	0
57624	0	0.0328	0.00616	0.008222	0.00834	0.02348	0.007295	0.003899	0
105373914	0.0376	0	0	0	0	0	0.1774	0	0
107985992	0	0	0.0855	0.05706	0	0	0.1013	0	0
646736	0	0	0.09309	0.1243	0.126	0.1183	0.1102	0.1178	0.09426
105373915	0	0.04296	0	0.03231	0	0	0	0	0.04902
100847053	0	0	1.036	0	0	3.95	2.454	0	2.098
3667	2.1	2.697	2.082	3.119	9.753	10.44	11.78	3.777	7.546
84236	1.832	1.75	2.337	2.485	8.425	9.34	10.91	4.632	6.408
1286	1.799	1.569	3.305	2.215	4.579	5.993	11.64	6.077	3.708
1285	1.24	1.343	2.884	1.847	3.591	5.744	11.5	4.698	2.713
654841	0.131	0.247	0.4522	0.5108	0.5652	1.061	2.348	0.6165	0.6341
56947	15.93	14.89	20.19	14.17	47.62	57.2	54.64	23.73	50.17
79853	0.02579	0.1216	0.06851	0.1143	0.1855	0.5223	0.3651	0.04336	0.2428
100847081	0	0	0	0	2.104	0	0	0	0
3267	4.771	5.55	5.837	4.669	16.24	19.34	21.37	8.128	13.8
56918	0	0	0	0	0	0	0.04939	0.05279	0
729968	0	0	0.06164	0	0	0	0.073	0	0.06242
80704	0.08513	0.1672	0.08794	0.02515	0.03402	0.1437	0.2678	0.3896	0.1145
6364	0	0	0.1044	0	0	0	0.1236	0	0
164781	0.08137	0.03197	0.03603	0.02404	0	0.04577	0.08533	0.1368	0.1094
105373918	0.527	0.3451	0.5445	0.3634	1.79	1.878	3.132	0.3446	1.181
80309	21.43	31.86	26.29	36.26	87.87	117.5	127.9	40.37	106.8
107985993	1.563	4.154	4.122	2.493	7.732	7.711	8.526	2.274	12
101928765	0.09665	0.3418	0.1284	0	0.1738	0.3262	0	0.1625	0.39
105373921	0	0	0.06747	0.01501	0.09135	0.08573	0.1065	0.05694	0.02277
105373920	0	0	0.183	0.06108	0.3718	0.3489	0.1084	0.1738	0.09268
105373919	0	0	0	0.103	0.4179	0.09804	0.3655	0.1465	0
55022	1.476	1.433	2.118	1.197	3.549	5.396	7.487	2.369	2.877
92737	0.161	0.07115	0.294	0.05351	0.3618	0.1358	0.8228	0.2537	0.05412
107985994	0.1116	0	0.1483	0	0	0.1884	0.1756	0	0.1501
105373923	0	0	0.03882	0	0	0	0.04597	0.02457	0
9320	8.039	10.36	13.08	12.19	53.56	52.72	50.78	18.68	36.69
130888	0.1754	0.2688	0.1864	0.653	1.262	1.569	1.545	0.6635	0.7077
105373924	0	0	0	0.1776	0.3604	0.3382	0	0.1685	0
107985996	0	0	0	0	0.8044	1.887	1.055	0.376	0.3008
151473	0.6299	0.787	0.7027	0.938	3.579	3.933	4.062	1.567	2.914
107985995	0	0.4783	0	0	0	0	0	0	0
107985997	0	0	0.06344	0	0.1718	0.08061	0.07513	0.1205	0.06424
3431	0.742	2.265	1.124	1.172	4.174	4.061	6.359	2.663	2.789
11262	0.07166	0.4223	0.1428	0.09528	0.5155	0.6651	0.958	0.369	0.506
93349	0.5971	1.207	0.963	1.03	2.838	3.365	6.054	1.622	2.51
105373925	0.2625	0.3438	0.4648	0.2844	1.101	1.181	1.651	0.4903	0.8237
6672	5.412	9.479	8.258	7.09	24.04	26.4	34.93	12.9	17.62
101928816	0.4983	1.909	1.158	0.773	3.585	4.836	4.899	1.466	4.524
112268431	0	0	0	0	0	0	0	0	0
151475	0.02512	0	0.03336	0.02226	0	0.08478	0	0	0.06756
51719	8.222	8.256	11.09	8.716	35.29	41.44	40.7	13.77	31.65
81618	5.182	3.975	3.919	3.978	13.24	18.62	16.07	9.317	15.64
151484	0	0	0	0.1841	0	0.1753	0.1633	0	0.09312
9290	0	0	0.01863	0.01243	0	0.02367	0.08823	0.02358	0.03772
348761	0	0.02201	0	0.03311	0	0	0	0	0
130560	0	0	0.08792	0	0	0	0	0	0
257407	0.01806	0.02128	0.04797	0.01601	0.03247	0.03047	0.08521	0	0.04857
112268432	0.04073	0.06002	0	0.02708	0.1282	0.189	0.1922	0.07705	0.1644
5707	15.08	17.27	19.67	19.14	67.2	82.01	65.13	28.31	65.37
3357	0.9134	1.568	1.345	1.743	3	4.893	5.81	3.456	2.804
80210	0.09078	0.1033	0.1289	0.1748	0.6981	0.8347	0.9651	0.4553	0.3537
100616317	0	0	0	0	0	0	0	0	0
93010	0.4862	0.3608	0.4066	0.09578	1.652	1.459	1.246	0.5753	0.8235
4691	18.49	23.05	16.3	27.4	109.4	94.19	87.47	50.86	108.4
654321	7.175	2.819	1.906	5.088	0.8602	1.614	3.009	3.619	5.147
6082	0	0.9655	0	1.452	1.473	5.53	10.31	0	1.102
25826	0	1.03	0	0.7745	1.571	1.475	2.749	2.938	2.35
107985998	0.07399	0.08721	0.09828	0.08745	0.4435	0.666	1.047	0.2073	0.3317
151477	0.1022	0.4218	0.8147	0.1812	0.4596	2.588	2.332	0.8594	0.825
10316	0.04177	0.08615	0.01387	0.04628	0.09389	0.08811	0.3285	0.1141	0.2949
105376787	0	0	0	0	0	0.1517	0	0	0
165100	0	0	0	0	0	0	0	0.03899	0
105373928	0.07558	0.1336	0	0.0335	0.3398	0.1913	0.1189	0.06354	0.2033
5757	16.96	15.11	18.42	14.64	34.93	41.66	54.78	25.63	34.08
100302285	39.32	30.9	33.79	25.97	48.53	62.45	129.8	40.18	62.21
5147	2.74	2.996	3.376	2.926	9.499	12.03	12.46	7.271	9.191
64708	1.234	1.797	2.025	2.585	10.12	11.92	10.35	2.889	6.119
100302126	0	0	0	0	0	0	0	0	0
4880	0.9808	0.07226	0.2443	0.01811	0.03675	0.1724	0.1607	0.01718	0.08245
129563	1.378	1.639	2.353	2.356	10.33	10.11	10.32	4.344	7.149
693147	0	0	0	0.6115	1.24	3.492	2.17	0.5799	2.783
250	0	0	0	0	0	0	0	0	0
347694	0	0	0	0	0	0	0	0	0
251	0	0	0	0	0	0	0	0	0
107985999	0	0	0	0	0	0	0	0	0
248	0	0	0	0	0	0	0	0	0
9427	0	0	0.03032	0	0.08209	0	0.0359	0.01919	0
646960	0	0	0	0	0.0527	0.04946	0	0	0
1144	0	0.03674	0.0207	0.01381	0	0.0263	0.04902	0.0393	0.02096
1146	0.1635	0.289	0.2605	0.1449	0.4997	0.6345	0.4371	0.2611	0.3737
200765	0.4305	0.8655	0.7399	0.9427	2.641	2.991	3.784	1.235	2.316
100847037	0	0	0	0.5809	0	0	0	0.5509	0
9470	3.578	3.284	4.206	4.454	15.88	17.11	18.56	6.848	13.78
105373929	0.1114	0	0	0	0.8017	0.1881	0.1753	0.09369	0
80303	2.679	1.895	2.763	2.571	12.19	13.78	15.67	6.227	9.454
26058	6.372	7.732	8.206	9.321	30.89	35.76	35.76	11.85	31.21
3769	0.6173	1.391	1.206	1.4	4.18	5.363	6.912	1.771	3.712
389084	0.06478	0.14	0.1578	0.1819	0.5631	0.7653	0.5944	0.2905	0.5518
25791	0.03563	0.021	0.02366	0.07897	0.1282	0.6916	0.2242	1.004	0.1677
101928881	0	0.1201	0	0	0	0	0	0	0
4759	0	0	0	0	0	0	0	0	0
3635	0.9491	1.623	1.935	2.026	2.837	5.505	6.329	2.899	3.11
55054	2.882	3.464	4.81	3.765	15.65	16.93	16.58	5.483	12.88
677775	188.8	95.58	111.8	82.95	313.3	266.9	398.6	513.8	326.5
677772	54.94	32.52	32.07	16.6	113.4	89.39	128.3	197.6	108.3
6295	0	0.02341	0.02638	0	0	0	0.06247	0.03339	0
8527	1.271	2.463	2.14	2.688	16.87	13.38	9.755	3.87	9.9
55230	1.824	2.738	2.871	2.752	11.52	13.41	12.9	4.788	9.227
54576	0	0.03224	0	0	0	0.04616	0	0	0
54575	0	0.03239	0	0	0	0	0	0	0
54600	0	0	0	0	0	0.04664	0	0	0
54577	0	0	0	0	0	0	0	0	0
54578	0	0	0	0	0	0	0	0	0
54579	0	0	0	0	0	0	0	0	0
54657	0	0	0	0	0	0	0	0	0
54659	0	0	0	0	0	0	0	0	0
414061	0	0	0.06969	0	0	0	0	0	0
100286922	0	0	0.0845	0	0	0	0	0	0
54658	0	0	0	0.0246	0	0	0	0	0
339766	0	0.009346	0.01053	0.007028	0	0	0.01247	0	0
55355	0.08219	0.1211	0.2456	0.07286	0	0.1387	0.1293	0.1382	0.08291
151507	0.06563	0.116	0.1308	0.1745	0.7672	0.9968	1.652	0.5793	0.5296
79054	0	0	0	0.006405	0	0	0.01136	0.006074	0.009717
6694	0	0	0.02373	0.03167	0	0	0.0281	0	0
105373932	0	0	0	0	0	0	0	0	0
105373933	0	0.02287	0	0	0	0	0	0.01631	0.02609
105373934	0	0	0	0	0	0	0	0	0
10123	0.3405	0.6308	0.7108	0.8769	0.9332	3.01	2.117	1.159	1.33
105373936	0	0	0	0	0	0	0	0	0
106144537	0	0	0	0	0	0	0	0	0
101927896	0.06139	0.1809	0.08154	0.1088	0.1104	0.3626	0.2414	0.1548	0.1651
105373937	0	0	0	0	0	0	0	0	0
105373938	0.02609	0.03075	0	0	0	0	0	0	0
23677	2.137	1.441	2.32	2.085	6.725	8.599	9.226	3.143	3.772
